master_id,recency,frequency,monetary,recency_score,frequency_score,monetary_score,RFM_SCORE,segment
00016786-2f5a-11ea-bb80-000d3a38a36f,10,5.0,776.0699999999999,5,4,4,54,champions
00034aaa-a838-11e9-a2fc-000d3a38a36f,298,3.0,269.46999999999997,1,2,1,12,hibernating
000be838-85df-11ea-a90b-000d3a38a36f,213,4.0,722.69,2,3,4,23,at_Risk
000c1fe2-a8b7-11ea-8479-000d3a38a36f,27,7.0,874.1600000000001,5,4,4,54,champions
000f5e3e-9dde-11ea-80cd-000d3a38a36f,20,7.0,1620.33,5,4,5,54,champions
00136ce2-a562-11e9-a2fc-000d3a38a36f,203,2.0,359.45,2,1,2,21,hibernating
00142f9a-7af6-11eb-8460-000d3a38a36f,25,3.0,404.94,5,2,2,52,potential_loyalists
0014778a-5b11-11ea-9a2c-000d3a38a36f,26,3.0,727.4300000000001,5,2,4,52,potential_loyalists
0018c6aa-ab6c-11e9-a2fc-000d3a38a36f,126,2.0,317.90999999999997,3,1,2,31,about_to_sleep
0022f41e-5597-11eb-9e65-000d3a38a36f,12,2.0,154.98,5,1,1,51,new_customers
0025f17c-eeaf-11ea-bb5a-000d3a38a36f,186,4.0,791.97,2,3,4,23,at_Risk
00263f1a-210a-11ea-b50a-000d3a38a36f,362,3.0,501.94,1,2,3,12,hibernating
00266a76-312c-11ea-b884-000d3a38a36f,184,7.0,1249.58,2,4,5,24,at_Risk
002bdaa8-9ee9-11ea-80cd-000d3a38a36f,46,3.0,962.87,4,2,4,42,potential_loyalists
003334c0-2b61-11ea-9d27-000d3a38a36f,35,3.0,512.95,4,2,3,42,potential_loyalists
0033a502-5bf1-11ea-829b-000d3a38a36f,105,4.0,788.73,3,3,4,33,need_attention
0033f078-7359-11ea-92d0-000d3a38a36f,360,2.0,153.98,1,1,1,11,hibernating
003705ee-a800-11e9-a2fc-000d3a38a36f,169,3.0,304.26,2,2,2,22,hibernating
003903e0-abce-11e9-a2fc-000d3a38a36f,68,5.0,577.47,4,4,3,44,loyal_customers
003c4ebc-aa23-11e9-a2fc-000d3a38a36f,108,4.0,360.76,3,3,2,33,need_attention
00414e84-adc6-11e9-a2fc-000d3a38a36f,120,3.0,303.44,3,2,2,32,about_to_sleep
00425f66-5b51-11ea-96d8-000d3a38a36f,199,4.0,419.96000000000004,2,3,2,23,at_Risk
004bec18-9f7a-11e9-a2fc-000d3a38a36f,99,12.0,684.91,3,5,4,35,loyal_customers
004d5204-2037-11ea-87bf-000d3a38a36f,27,8.0,1170.76,5,5,5,55,champions
00521bd0-b0c6-11e9-9757-000d3a38a36f,7,3.0,157.47,5,2,1,52,potential_loyalists
00534fe4-a6b4-11e9-a2fc-000d3a38a36f,63,16.0,800.59,4,5,4,45,loyal_customers
0053a6ea-ad0a-11e9-a2fc-000d3a38a36f,117,3.0,394.49,3,2,2,32,about_to_sleep
00596df0-abca-11e9-a2fc-000d3a38a36f,213,4.0,1408.3600000000001,2,3,5,23,at_Risk
005c7914-9e78-11e9-9897-000d3a38a36f,279,2.0,264.48,1,1,1,11,hibernating
